drugbank_id,interactant_id,name,organism,known_action
DB14509,BE0000497,Amiloride-sensitive sodium channel subunit gamma,Humans,unknown
DB14513,BE0009861,Claudin-16,Humans,unknown
DB14513,BE0005126,Transient receptor potential cation channel subfamily M member 6,Humans,unknown
DB14513,BE0004624,Transient receptor potential cation channel subfamily M member 7,Humans,unknown
DB14513,BE0009863,Solute carrier family 41 member 1,Humans,unknown
DB14513,BE0008673,Solute carrier family 41 member 3,Humans,unknown
DB14513,BE0009864,"Magnesium transporter MRS2 homolog, mitochondrial",Humans,unknown
DB14520,BE0008685,Natural resistance-associated macrophage protein 2,Humans,unknown
DB14520,BE0009856,Ferroportin,Humans,unknown
DB14533,BE0009891,Proton-coupled zinc antiporter SLC30A1,Humans,unknown
DB14533,BE0009892,Proton-coupled zinc antiporter SLC30A2,Humans,unknown
DB14533,BE0009895,Probable proton-coupled zinc antiporter SLC30A3,Humans,unknown
DB14533,BE0009886,Probable proton-coupled zinc antiporter SLC30A4,Humans,unknown
DB14533,BE0009907,Zinc transporter 6,Humans,unknown
DB14533,BE0009898,Proton-coupled zinc antiporter SLC30A5,Humans,unknown
DB14533,BE0009885,Zinc transporter 7,Humans,unknown
DB14533,BE0009896,Proton-coupled zinc antiporter SLC30A8,Humans,unknown
DB14533,BE0009890,"Proton-coupled zinc antiporter SLC30A9, mitochondrial",Humans,unknown
DB14533,BE0009899,Calcium/manganese antiporter SLC30A10,Humans,unknown
DB14533,BE0009902,Zinc transporter ZIP1,Humans,unknown
DB14533,BE0009889,Zinc transporter ZIP2,Humans,unknown
DB14533,BE0009904,Zinc transporter ZIP3,Humans,unknown
DB14533,BE0009894,Zinc transporter ZIP4,Humans,unknown
DB14533,BE0009888,Zinc transporter ZIP5,Humans,unknown
DB14533,BE0009887,Zinc transporter ZIP6,Humans,unknown
DB14533,BE0009893,Zinc transporter SLC39A7,Humans,unknown
DB14533,BE0009901,Metal cation symporter ZIP8,Humans,unknown
DB14533,BE0009905,Zinc transporter ZIP9,Humans,unknown
DB14533,BE0009884,Zinc transporter ZIP10,Humans,unknown
DB14533,BE0009906,Zinc transporter ZIP11,Humans,unknown
DB14533,BE0009897,Zinc transporter ZIP12,Humans,unknown
DB14533,BE0009900,Zinc transporter ZIP13,Humans,unknown
DB14533,BE0009903,Metal cation symporter ZIP14,Humans,unknown
DB14538,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14538,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14538,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14538,BE0003645,Organic anion transporter 3,Humans,unknown
DB14539,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14539,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14539,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14539,BE0003645,Organic anion transporter 3,Humans,unknown
DB14540,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14540,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14540,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14540,BE0003645,Organic anion transporter 3,Humans,unknown
DB14541,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14541,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14541,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14541,BE0003645,Organic anion transporter 3,Humans,unknown
DB14542,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14542,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14542,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
DB14542,BE0003645,Organic anion transporter 3,Humans,unknown
DB14543,BE0001032,ATP-dependent translocase ABCB1,Humans,unknown
DB14543,BE0003642,Solute carrier organic anion transporter family member 1A2,Humans,unknown
DB14543,BE0001067,Broad substrate specificity ATP-binding cassette transporter ABCG2,Humans,unknown
