drugbank_id,reaction_id,enzyme_drugbank_id,uniprot_id
DB08877,DB08877_rxn_3,BE0002638,P08684
DB08877,DB08877_rxn_3,BE0002793,P11712
DB08893,DB08893_rxn_0,BE0002638,P08684
DB08893,DB08893_rxn_0,BE0002363,P10635
DB08893,DB08893_rxn_0,BE0003679,P16662
DB08893,DB08893_rxn_0,BE0003677,P35503
DB08893,DB08893_rxn_0,BE0003682,Q9HAW9
DB08893,DB08893_rxn_1,BE0003679,P16662
DB08893,DB08893_rxn_1,BE0003677,P35503
DB08893,DB08893_rxn_1,BE0003682,Q9HAW9
DB08893,DB08893_rxn_3,BE0002638,P08684
DB08893,DB08893_rxn_3,BE0002363,P10635
DB08893,DB08893_rxn_3,BE0003679,P16662
DB08893,DB08893_rxn_3,BE0003677,P35503
DB08893,DB08893_rxn_3,BE0003682,Q9HAW9
DB08893,DB08893_rxn_6,BE0003677,P35503
DB08893,DB08893_rxn_6,BE0003682,Q9HAW9
DB08893,DB08893_rxn_6,BE0003679,P16662
DB08899,DB08899_rxn_0,BE0002638,P08684
DB08899,DB08899_rxn_0,BE0002887,P10632
DB08899,DB08899_rxn_1,BE0002705,P23141
DB08899,DB08899_rxn_3,BE0002705,P23141
DB08899,DB08899_rxn_3,BE0002638,P08684
DB08899,DB08899_rxn_3,BE0002887,P10632
DB08903,DB08903_rxn_0,BE0002638,P08684
DB08907,DB08907_rxn_0,BE0003538,O60656
DB08907,DB08907_rxn_0,BE0003681,P06133
DB08907,DB08907_rxn_1,BE0002638,P08684
DB08912,DB08912_rxn_0,BE0002638,P08684
DB08912,DB08912_rxn_0,BE0002887,P10632
DB08912,DB08912_rxn_1,BE0002638,P08684
DB08918,DB08918_rxn_0,BE0002638,P08684
DB08918,DB08918_rxn_0,BE0002887,P10632
DB08918,DB08918_rxn_0,BE0003536,P33261
DB08918,DB08918_rxn_0,BE0002363,P10635
DB08918,DB08918_rxn_0,BE0003683,P51589
DB08921,DB08921_rxn_0,BE0002793,P11712
DB08921,DB08921_rxn_0,BE0003536,P33261
DB08921,DB08921_rxn_0,BE0002638,P08684
DB08921,DB08921_rxn_2,BE0002793,P11712
DB08921,DB08921_rxn_2,BE0003536,P33261
DB08922,DB08922_rxn_0,BE0002638,P08684
DB08930,DB08930_rxn_1,BE0003541,P22309
DB08930,DB08930_rxn_1,BE0003677,P35503
DB08930,DB08930_rxn_1,BE0003538,O60656
DB08930,DB08930_rxn_2,BE0002638,P08684
DB08930,DB08930_rxn_4,BE0003543,P04798
DB08930,DB08930_rxn_4,BE0001111,Q16678
DB08930,DB08930_rxn_5,BE0003543,P04798
DB08930,DB08930_rxn_5,BE0001111,Q16678
DB08932,DB08932_rxn_0,BE0002638,P08684
DB08932,DB08932_rxn_0,BE0002887,P10632
DB08932,DB08932_rxn_0,BE0002793,P11712
DB08932,DB08932_rxn_0,BE0003536,P33261
DB08932,DB08932_rxn_2,BE0002793,P11712
DB08932,DB08932_rxn_2,BE0002887,P10632
DB08932,DB08932_rxn_2,BE0003536,P33261
DB08932,DB08932_rxn_3,BE0002793,P11712
DB08934,DB08934_rxn_0,BE0004740,Q6LAP9
DB08934,DB08934_rxn_0,BE0008657,P10619
DB08934,DB08934_rxn_1,BE0001473,P49773
DB08934,DB08934_rxn_2,BE0000637,P30085
DB08934,DB08934_rxn_2,BE0003106,P15531
DB09030,DB09030_rxn_0,BE0002638,P08684
DB09030,DB09030_rxn_1,BE0002638,P08684
DB09030,DB09030_rxn_1,BE0003683,P51589
DB09031,DB09031_rxn_0,BE0002181,Q13393
DB09034,DB09034_rxn_0,BE0002638,P08684
DB09034,DB09034_rxn_0,BE0003536,P33261
DB09038,DB09038_rxn_0,BE0003679,P16662
DB09038,DB09038_rxn_0,BE0003677,P35503
DB09038,DB09038_rxn_0,BE0003682,Q9HAW9
DB09038,DB09038_rxn_0,BE0003538,O60656
DB09038,DB09038_rxn_1,BE0003679,P16662
DB09038,DB09038_rxn_1,BE0003677,P35503
DB09038,DB09038_rxn_1,BE0003682,Q9HAW9
DB09038,DB09038_rxn_1,BE0003538,O60656
DB09038,DB09038_rxn_2,BE0003679,P16662
DB09038,DB09038_rxn_2,BE0003677,P35503
DB09038,DB09038_rxn_2,BE0003682,Q9HAW9
DB09038,DB09038_rxn_2,BE0003538,O60656
DB09039,DB09039_rxn_0,BE0002363,P10635
DB09039,DB09039_rxn_0,BE0002638,P08684
DB09039,DB09039_rxn_0,BE0003536,P33261
DB09039,DB09039_rxn_1,BE0002363,P10635
DB09039,DB09039_rxn_1,BE0002638,P08684
DB09039,DB09039_rxn_2,BE0002638,P08684
